iter	Passed	Remaining
405	6190	1433
406	6202	1417
407	6215	1401
408	6229	1386
409	6244	1370
410	6257	1355
411	6270	1339
412	6282	1323
413	6299	1308
414	6313	1293
415	6323	1276
416	6338	1261
417	6352	1246
418	6364	1230
419	6380	1215
420	6391	1199
421	6403	1183
422	6418	1168
423	6435	1153
424	6449	1138
425	6463	1122
426	6477	1107
427	6489	1091
428	6503	1076
429	6514	1060
430	6527	1044
431	6539	1029
432	6552	1013
433	6568	998
434	6580	983
435	6593	967
436	6604	952
437	6618	936
438	6629	921
439	6645	906
440	6657	890
441	6670	875
442	6682	859
443	6697	844
444	6712	829
445	6724	814
446	6743	799
447	6755	784
448	6770	769
449	6787	754
450	6798	738
451	6812	723
452	6826	708
453	6841	693
454	6854	677
455	6867	662
456	6886	647
457	6899	632
458	6914	617
459	6929	602
460	6946	587
461	6959	572
462	6972	557
463	6985	541
464	6998	526
465	7017	512
466	7031	496
467	7045	481
468	7056	466
469	7073	451
470	7084	436
471	7096	420
472	7110	405
473	7124	390
474	7137	375
475	7153	360
476	7167	345
477	7180	330
478	7191	315
479	7206	300
480	7219	285
481	7232	270
482	7245	255
483	7259	239
484	7270	224
485	7283	209
486	7299	194
487	7311	179
488	7326	164
489	7340	149
490	7351	134
491	7368	119
492	7379	104
493	7391	89
494	7406	74
495	7422	59
496	7437	44
497	7450	29
498	7463	14
499	7474	0
